ID,Title,Author,Hardcover,Paperback,NOOK_Book,Audiobook,ISBN_13_DUMMY,ISBN_13,Series,Publisher,Publication_Date,Sales_rank,Pages,Product_dimensions
8914,System Center 2012 Orchestrator Unleashed,Kerrie Meyler# Pete Zerger# Marcus Oh# Anders Bengtsson,,$37.94 ,$27.99 ,,9.78067E+12,978-0672336102,Unleashed Series,Sams,,"1,153,797",550,8.90(w) x 7.00(h) x 1.60(d)
8915,Greasemonkey Hacks,Mark Pilgrim,,$20.00 ,$11.99 ,,9.7806E+12,978-0596101657,Hacks Series,"O'Reilly Media, Incorporated",,,496,6.10(w) x 9.12(h) x 1.04(d)
8916,How to Maintain Your Computer,Teresa Townsend,,,,,9.7813E+12,978-1300133391,,Lulu.com,,"1,153,922",,
8917,PHP Application Development with Netbeans: Beginner's Guide,M. A. Hossain Tonu# M. A. Hossain Tonu,,,,,9.78185E+12,978-1849515801,,Packt Publishing,,"1,153,353",302,7.50(w) x 9.25(h) x 0.63(d)
8918,Email List Building - How To Build A Targeted Email List,Frank Kerrn,,,,,2.94002E+12,294-0016727813,,Manuel Hendrix,,"1,154,546",,
8919,Sams Teach Yourself Windows Server 2008 in 24 Hours (Sams Teach Yourself -- Hours Series),Joe Habraken,,$39.99 ,$18.49 ,,9.78067E+12,978-0672330124,Sams Teach Yourself Series,Sams,,"1,328,042",626,7.00(w) x 9.00(h) x 1.50(d)
8920,"Maximizing LinkedIn for Sales and Social Media Marketing: An Unofficial, Practical Guide to Selling & Developing B2B Business on LinkedIn",Neal Schaffer,,,,,2.94001E+12,294-0013065536,,CreateSpace,,"1,154,589",228,
8921,Art of Downloading Music,Steve Levine,,$9.95 ,$7.99 ,,9.78186E+12,978-1860746185,,SMT,,,287,4.12(w) x 5.64(h) x 0.64(d)
8922,101 Tips for Making Money Online,Jay Miletsky,,$12.27 ,$9.09 ,,9.78129E+12,978-1285179452,,Cengage Learning,,"1,306,742",160,7.44(w) x 9.69(h) x 0.79(d)
8923,Linux Recipes for Oracle DBAs / Edition 1,Darl Kuhn# Bernard Lopuz# Charles Kim,,$26.65 ,,,9.78143E+12,978-1430215752,A Problem-Solution Approach Series,Apress,,"1,154,336",528,7.00(w) x 9.10(h) x 1.20(d)
8924,HTML and XHTML Pocket Reference,Jennifer Niederst Robbins,,$7.82 ,$9.49 ,,9.7806E+12,978-0596551483,Pocket Reference (O'Reilly),"O'Reilly Media, Incorporated",,"1,154,415",108,
8925,Active Regulation: General Systems Design Principles,Gerald Weinberg,,,,,2.94001E+12,294-0012929815,General Systems Thinking,Gerald Weinberg,,"1,154,055",,
8926,"Guide to Microsoft Paint: Tips, Tricks and Secrets",J. P.,,,,,2.94002E+12,294-0016733111,,J.P.,,"1,154,435",,
8927,Adobe Type Library Reference Book,Adobe Systems# Inc.,,$27.05 ,$20.99 ,,9.78013E+12,978-0132701365,,Pearson Education,,"1,154,090",360,
8928,AdvancED ActionScript 3.0 Animation,Keith Peters,,,,,9.78143E+12,978-1430216094,,Apress,,"1,154,189",472,
8929,"Best of the Best Sellers Ad ware Spyware Download (spynace, spine, spy plane, spy proof, spyware, sq, sq ft, sq in, sq yd, sq.)",Resounding Wind Publishing,,,,,2.94015E+12,294-0150113039,,Resounding Wind Publishing,,"1,155,436",,
8930,Pro SQL Server 2012 Integration Services,Francis Rodrigues# Michael Coles# David Dye,,$41.24 ,$32.49 ,,9.78143E+12,978-1430236924,,Apress,,"1,155,368",636,17.60(w) x 9.20(h) x 1.50(d)
8931,Illustrated WPF,Daniel Solis,,,,,9.78143E+12,978-1430219118,,Apress,,"1,155,499",550,
8932,Work Smarter Tips for Microsoft Office Outlook 2010,Fish Davis,,,,,2.94002E+12,294-0016378800,Work Smarter Tips,Fish Davis,,"1,155,555",,
8933,Android Tablets - Living With Android: How To Use Android Tablets,Bill Gattes,,,,,2.94002E+12,294-0016525570,,Manuel Hendrix,,"1,154,971",,
8934,Passive Regulation: General Systems Design Principles,Gerald M. Weinberg,,,,,2.94001E+12,294-0012929631,General Systems Thinking,Gerald Weinberg,,"1,154,990",,
8935,Group Policy Administration: The Personal Trainer for Windows Server 2008 and Windows Server 2008 R2,William Stanek,,$39.99 ,$29.99 ,,9.78163E+12,978-1627161626,,Stanek & Associates,,"1,155,090",422,7.00(w) x 10.00(h) x 0.86(d)
8936,"Beginning JSP, JSF and Tomcat: Java Web Development",Giulio Zambon,,$32.30 ,$27.19 ,,9.78143E+12,978-1430246237,,Apress,,,436,7.50(w) x 9.25(h) x 0.90(d)
8937,Lighting Techniques for Photographing Model Portfolios: Strategies for Digital Photographers,Billy Pegram,,$25.92 ,$12.49 ,,9.78158E+12,978-1584282594,,"Amherst Media, Incorporated",,,128,8.50(w) x 10.90(h) x 0.40(d)
8938,"The Graphic Designer's Digital Toolkit: A Project-Based Introduction to Adobe Photoshop CS6, Illustrator CS6 & InDesign CS6 / Edition 6",Allan Wood,, ,,,9.78113E+12,978-1133602699,Adobe CS6 Series,Cengage Learning,,"1,155,171",784,8.90(w) x 7.40(h) x 1.40(d)
8939,Digital Video and HD: Algorithms and Interfaces / Edition 2,Charles Poynton,$60.41 ,,$62.99 ,,9.78012E+12,978-0123919267,Morgan Kaufmann Series in Computer Graphics Series,Elsevier Science,,,752,7.70(w) x 9.40(h) x 1.60(d)
8940,QuickBooks 2012 QuickSteps,Thomas Barich,,$22.00 ,$12.99 ,,9.78007E+12,978-0071775946,Quick Guides Series,McGraw-Hill Professional Publishing,,,240,7.98(w) x 9.88(h) x 0.50(d)
8941,Microsoft Word 2010: Illustrated Complete / Edition 1,Jennifer Duffy# Carol Cram,,$140.33 ,,,9.78054E+12,978-0538747141,Illustrated Series: Individual Office Applications Series,Cengage Learning,,"1,156,340",520,8.40(w) x 10.70(h) x 0.70(d)
8942,Twitter Marketing: An Hour a Day,Hollis Thomases,,$22.87 ,$16.49 ,,9.78047E+12,978-0470562260,,Wiley,,"1,156,396",504,7.40(w) x 9.00(h) x 1.20(d)
8943,Data Structures And Algorithms Using Java,William McAllister,,$179.73 ,,,9.78076E+12,978-0763757564,,Jones & Bartlett Learning,,"1,156,119",580,7.30(w) x 9.00(h) x 1.40(d)
8944,Learning JavaScriptMVC,Wojciech Bednarski,,$24.99 ,$9.99 ,,9.78178E+12,978-1782160205,,Packt Publishing,,"1,156,527",124,7.50(w) x 9.25(h) x 0.26(d)
8945,Grand Theft Auto 5 Cheat Book,Douglas Chick,,,,,2.94015E+12,294-0148846192,,TheNetworkAdministrator.com,,"1,156,450",,
8946,The Beginner's Guide to Fixing Your PC: How to Solve the Commonest Computer Problems,Pete Neale# Geoff Stevens,, ,$4.49 ,,9.78086E+12,978-0857653901,,Summersdale Publishers Ltd,,"1,156,507",256,
8947,Data Warehousing 101: Concepts and Implementation,Arshad Khan,,$13.27 ,,,9.7806E+12,978-0595290697,,"iUniverse, Incorporated",,"1,156,692",136,6.00(w) x 9.00(h) x 0.32(d)
8948,150+ Cocktail recipes,Anonymous,,,,,2.94001E+12,294-0012064066,,New Century Books,,"1,156,826",,
8949,Programming Microsoft LINQ in Microsoft .NET Framework 4,Marco Russo# Paolo Pialorsi,,$33.41 ,$35.99 ,,9.78074E+12,978-0735640573,,Microsoft Press,,"1,156,834",704,7.40(w) x 8.90(h) x 2.00(d)
8950,Eclipse Cookbook,Steve Holzner,,$38.10 ,,,9.7806E+12,978-0596007102,,"O'Reilly Media, Incorporated",,"1,156,709",366,7.00(w) x 9.19(h) x 0.88(d)
8951,SQL Server Integration Services Design Patterns,Tim Mitchell# Matt Masson# Andy Leonard# Jessica Moss,,$17.85 ,$38.99 ,,9.78148E+12,978-1484200827,,Apress,,"1,157,089",464,
8952,Learning JavaScript Design Patterns,Addy Osmani,,$26.10 ,$18.99 ,,9.78145E+12,978-1449331818,,"O'Reilly Media, Incorporated",,"1,305,381",254,6.90(w) x 9.10(h) x 0.60(d)
8953,Oracle Regular Expressions: Pocket Reference,Jonathan Gennick# Peter Linsley,,$9.95 ,$4.99 ,,9.7806E+12,978-0596006013,Pocket Reference (O'Reilly) Series,"O'Reilly Media, Incorporated",,,66,4.04(w) x 7.30(h) x 0.20(d)
8954,"Design like Apple: Seven Principles for Creating Insanely Great Products, Services, and Experiences",John Edson,$20.94 ,,$16.49 ,,9.78112E+12,978-1118290316,,Wiley,,"1,157,246",208,8.20(w) x 8.10(h) x 0.60(d)
8955,Beginning Android 3D Game Development,Robert Chin,,$49.99 ,$32.49 ,,9.78143E+12,978-1430265474,,Apress,,,492,7.50(w) x 9.25(h) x 0.99(d)
8956,The Illustrated Guide to Assistive Technology & Devices: Tools And Gadgets For Living Independently / Edition 1,Suzanne Robitaille,,$19.95 ,$16.49 ,,9.78193E+12,978-1932603804,,"Demos Medical Publishing, LLC",,,208,6.00(w) x 8.90(h) x 0.60(d)
8957,iMovie 09 and iDVD for Mac OS X: Visual QuickStart Guide,Jeff Carlson,,$24.99 ,$11.99 ,,9.78032E+12,978-0321601322,Visual QuickStart Guide Series,Peachpit Press,,,244,8.94(w) x 7.08(h) x 0.44(d)
8958,Wordpress Dollars: Ten Easy Ways To Flex And Win,D. Oke-Senu,,,,,9.78148E+12,978-1483528991,,BookBaby,,"1,157,786",16,
8959,Content Management Bible / Edition 2,Bob Boiko,,$26.65 ,,,9.78076E+12,978-0764573712,Bible Series,Wiley,,"1,157,527",1176,7.40(w) x 9.18(h) x 2.08(d)
8960,Creating a Web Page in Dreamweaver 8: Visual QuickProject Guide,Nolan Hester,,$7.82 ,$8.49 ,,9.78013E+12,978-0132797825,Visual QuickProject Guide,Pearson Education,,"1,157,566",160,
8961,Project Managing E-Learning,Maggie McVay Lynch# John Roecker,,,,,9.7802E+12,978-0203946992,,"Taylor & Francis, Inc.",,"1,157,441",208,
8962,eAnalyst Redbook Use Case Quick Start Guide,Ms DeEtta Jennings-Balthazar,,,$14.99 ,,9.78056E+12,978-0557641826,,Lulu.com,,"1,158,038",40,
8963,"Building Computers, a Beginner's Guide [eBook]",Author Bryan Haley,,,,,9.78111E+12,978-1105595868,,Lulu.com,,"1,157,878",,
8964,You've Been Hacked: 15 Hackers You Hope Your Computer Never Meets,William Webb,,$9.99 ,$2.99 ,,2.94002E+12,294-0016708447,,Absolute Crime,,"1,157,917",,
8965,Mac Hacks: Tips & Tools for unlocking the power of OS X,Chris Seibold,,$19.85 ,$11.99 ,,9.78145E+12,978-1449325589,,"O'Reilly Media, Incorporated",,"1,306,591",330,6.00(w) x 8.90(h) x 0.60(d)
8966,Take Control of Security for Mac Users,Joe Kissell,,,,,9.78146E+12,978-1457191138,,TidBITS,,"1,158,126",159,
8967,Joomla! 3 Beginner's Guide,Eric Tiggeler,,$49.99 ,$20.99 ,,9.78178E+12,978-1782164340,,Packt Publishing,,"1,158,370",434,7.50(w) x 9.25(h) x 0.88(d)
8968,David Busch's Sony Alpha SLT-A57 Guide to Digital Photography,David D. Busch,,$20.36 ,$20.99 ,,9.78129E+12,978-1285171289,David Busch's Digital Photography Guides Series,Cengage Learning,,"1,158,408",400,7.30(w) x 9.00(h) x 1.10(d)
8969,Networking Bible,Barrie Sosinsky,,$27.10 ,$23.49 ,,9.78047E+12,978-0470543429,Bible,Wiley,,"1,158,415",912,
8970,30-Minute Social Media Marketing: Step-by-step Techniques to Spread the Word About Your Business,Susan Gunelius,,$12.71 ,$9.99 ,,9.78007E+12,978-0071743815,,McGraw-Hill Professional Publishing,,"1,158,537",272,5.90(w) x 8.90(h) x 0.70(d)
8971,Hand Over Fist Money Makers - Cash In on the Hottest Money Making Trends Today!,Dawn Publishing,,,,,2.94001E+12,294-0014137188,,Dawn Publishing,,"1,158,595",28,
8972,"Electromagnetics Explained: A Handbook for Wireless/ RF, EMC, and High-Speed Electronics",Ron Schmitt,$35.59 ,,$46.49 ,,9.78075E+12,978-0750674034,EDN Series for Design Engineers Series,Elsevier Science,,,410,0.88(w) x 7.00(h) x 10.00(d)
8973,Data Mining Techniques,Arun K Pujari,,,,,9.78817E+12,978-8173718533,,Universities Press (India) Private Limited,,"1,158,656",,
8974,Drupal 7 Modules,David Ipswich,,,,,2.94003E+12,294-0033132171,Drupal 7,Dick Underwood,,"1,158,657",,
8975,"Mechanical Drawing: Board and CAD Techniques, Student Edition / Edition 13",Thomas French# Jay Helsel# Jay D. Helsel,$103.91 ,,,,9.78008E+12,978-0078251009,French: Mechanical Drawing Series,McGraw-Hill Education,,"1,158,776",864,8.70(w) x 11.20(h) x 1.30(d)
8976,John Walkenbach's Favorite Excel 2007 Tips and Tricks,John Walkenbach,,$31.80 ,$20.99 ,,9.78047E+12,978-0470137666,Mr. Spreadsheet's Bookshelf Series,Wiley,,,528,7.30(w) x 9.20(h) x 1.20(d)
8977,Low Tech Hacking: Street Smarts for Security Professionals,Jack Wiles,,$39.47 ,$28.99 ,,9.7816E+12,978-1597496650,,Elsevier Science,,"1,365,017",264,7.40(w) x 9.10(h) x 0.80(d)
8978,Modern Fortran in Practice,Arjen Markus,$134.99 ,$47.31 ,$30.49 ,,9.78111E+12,978-1107603479,,Cambridge University Press,,,272,6.00(w) x 8.90(h) x 0.80(d)
8979,"Gray Hat Hacking The Ethical Hackers Handbook, 3rd Edition",Allen Harper# Shon Harris# Jonathan Ness# Chris Eagle,,$28.20 ,$34.99 ,,9.78007E+12,978-0071742566,,McGraw-Hill Education,,"1,160,634",720,
8980,Le mini-guide du blogueur: Rentabiliser son blogue - Volume 1,Rita Baker,,,,,2.94001E+12,294-0011347023,,Rita Baker,,"1,158,473",,
8981,Drupal 7 Theme Creation,David Ipswich,,,,,2.94004E+12,294-0044309180,Drupal 7,Dick Underwood,,"1,159,140",,
8982,Network Defense: Security and Vulnerability Assessment / Edition 1,EC-Council,,$43.22 ,,,9.78144E+12,978-1435483590,EC-Council Press Series,Cengage Learning,,"1,159,286",192,8.40(w) x 10.80(h) x 0.50(d)
8983,PostgreSQL Cookbook,Chitij Chauhan,,$44.99 ,$26.99 ,,9.78178E+12,978-1783555345,,Packt Publishing,,"1,159,018",,
8984,Rust Essentials,Ivo Balbaert,,$29.99 ,$23.99 ,,9.78179E+12,978-1785282133,,Packt Publishing,,"1,159,465",,
8985,Service Oriented Architecture: Principles of Service Design (The Prentice Hall Service-Oriented Computing Series) / Edition 1,Thomas Erl,$45.64 ,,$44.79 ,,9.78013E+12,978-0132344821,Prentice Hall Service-Oriented Computing Series from Thomas Erl,Prentice Hall,,,608,9.22(w) x 10.92(h) x 1.46(d)
8986,Google's PageRank and Beyond: The Science of Search Engine Rankings,Amy N. Langville, ,$23.02 ,$18.99 ,,9.78069E+12,978-0691152660,,Princeton University Press,,"1,159,404",240,6.90(w) x 9.90(h) x 0.60(d)
8987,Guide des Styles Smashwords,Mark Coker,,,,,2.94001E+12,294-0011545634,Smashwords Style Guide Translations,Mark Coker,,"1,159,626",,
8988,Getting Started with Zurb Foundation 5,Ryan Flores,,,,,2.94005E+12,294-0046157345,,Ryan Flores,,"1,159,806",,
8989,"Photosmith for iPad: Rate, Tag, and Organize Photos for Lightroom",Jeff Carlson,,,,,9.78013E+12,978-0133120745,,Pearson Education,,"1,159,843",40,
8990,C FOR DUMmIES 2ND EDITION,frank smithson,,,,,2.94015E+12,294-0151505970,,frank smithson,,"1,159,721",,
8991,Beginning Fedora: From Novice to Professional,Keir Thomas# Shashank Sharma,,$39.99 ,$25.99 ,,9.78159E+12,978-1590598559,Beginning Series: From Novice to Professional Ser.,Apress,,,519,7.00(w) x 9.25(h) x 1.30(d)
8992,Website Basics,Sharon Jackson,,,,,9.78133E+12,978-1326272975,,Lulu.com,,"1,159,672",,
8993,Botnets: The Killer Web Applications,Craig Schiller# James R. Binkley,,$47.06 ,$40.99 ,,9.7816E+12,978-1597491358,,Elsevier Science,,,480,7.00(w) x 10.00(h) x 0.97(d)
8994,Windows PowerShell 4.0 for .NET Developers,Sherif Talaat,,$34.99 ,$14.69 ,,9.78185E+12,978-1849688765,,Packt Publishing,,,140,7.50(w) x 9.25(h) x 0.30(d)
8995,Automotive Service Management: Operations Management / Edition 1,Mitch Schneider# Schneider,,$16.72 ,,,9.7814E+12,978-1401826659,Automotive Service Management Ser.,Cengage Learning,,"1,160,315",144,8.30(w) x 10.90(h) x 0.30(d)
8996,jMonkeyEngine 3.0 Beginner's Guide,Ruth Irene Kusterer,,$49.99 ,$20.99 ,,9.78185E+12,978-1849516464,,Packt Publishing,,"1,160,205",352,7.50(w) x 9.25(h) x 0.73(d)
8997,KnockoutJS Web Development,John Farrar,,$29.99 ,$17.99 ,,9.78178E+12,978-1782161035,,Packt Publishing,,"1,160,099",,
8998,Raspberry Pi Command Line for Beginner,Agus Kurniawan,,,,,9.7813E+12,978-1304890696,,Lulu.com,,"1,160,749",,
8999,"Website Design Ideas: Used By Top Executives For Freelance Web Design, Corporate Website Design, Website Design and Development, Websitite Traffic and Website Building for Beginners",Martin A. Tirado,,,,,2.94002E+12,294-0015143836,,Gilkie publishing,,"1,158,716",,
9000,Cissp Secrets to Acing the Exam and Successful Finding and Landing Your Next Cissp Certified Job,Gary Reeves,,$29.99 ,$12.99 ,,9.78149E+12,978-1486156528,,Emereo Pty Ltd,,"1,160,690",122,6.00(w) x 9.00(h) x 0.29(d)
9001,Online Education Using Learning Objects / Edition 1,Rory McGreal,,,,,9.78042E+12,978-0415416603,Open and Flexible Learning Ser.,Taylor & Francis,,"1,160,917",388,6.30(w) x 9.30(h) x 1.20(d)
9002,Programming Problems: Advanced Algorithms,Bradley Green,,$11.56 ,$8.99 ,,9.78148E+12,978-1484964095,,CreateSpace Publishing,,,202,6.00(w) x 9.00(h) x 0.46(d)
9003,Advanced Signal Integrity for High-Speed Digital Designs / Edition 1,Stephen H. Hall# Hall# Howard L. Heck,$105.22 ,,$89.49 ,,9.78047E+12,978-0470192351,,Wiley,,"1,160,934",680,6.10(w) x 9.30(h) x 1.40(d)
9004,Flipping Profits,99 ¢ store# save to buy more,,,,,2.94001E+12,294-0014734578,,"99 ¢ store, save to buy more",,"1,161,937",,
9005,Tcl/Tk Pocket Reference,Paul Raines,,$9.95 ,,,9.78157E+12,978-1565924987,,"O'Reilly Media, Incorporated",,"1,161,686",96,4.23(w) x 7.01(h) x 0.23(d)
9006,Code Craft: The Practice of Writing Excellent Code,Pete Goodliffe,,$32.96 ,$19.99 ,,9.78159E+12,978-1593271190,,"No Starch Press San Francisco, CA",,,610,9.16(w) x 10.52(h) x 1.48(d)
9007,Programming Role Playing Games with DirectX,Jim Adams,,$34.47 ,,,9.78159E+12,978-1592003150,,Cengage Learning,,"1,161,547",880,7.28(w) x 9.10(h) x 2.17(d)
9008,Success Secrets of Social Media Marketing Superstars,Mitch Meyerson,,$16.98 ,$12.49 ,,9.7816E+12,978-1599183770,,Entrepreneur Press,,"1,293,293",256,6.54(w) x 9.02(h) x 0.73(d)
9009,Adobe Illustrator CS5 on Demand,Steve Johnson# Perspection Inc.,,$24.05 ,$13.99 ,,9.78079E+12,978-0789744456,On Demand Series,Que,,,508,7.40(w) x 9.00(h) x 1.00(d)
9010,The Digital Filmmaking Handbook / Edition 3,Ben Long# Sonja Schenk,,$47.49 ,,,9.78158E+12,978-1584504382,Charles River Media Digital Filmmaking Series,Cengage Learning,,"1,161,436",608,
9011,SCJP Sun Certified Programmer for Java 6 Study Guide: Exam 310-065 / Edition 1,Kathy Sierra# Bert Bates,,,$28.99 ,,9.78007E+12,978-0071591065,,McGraw-Hill Professional Publishing,,"1,161,211",851,
9012,Die SharePoint 2010 Gebote: 1. Du sollst lernen die Grundlagen,Daniel Mettler,,,,,2.94001E+12,294-0011189180,,Daniel Mettler,,"1,161,049",,
9013,Design and Launch an Online Boutique in a Week,Melissa Campanelli,$16.97 ,,$10.49 ,,9.7816E+12,978-1599181882,,Entrepreneur Press,,"1,161,180",260,6.80(w) x 8.90(h) x 0.20(d)
9014,Apache Cookbook: Solutions and Examples for Apache Administration,Rich Bowen# Ken Coar,,$24.24 ,$16.49 ,,9.7806E+12,978-0596529949,Cookbooks (O'Reilly) Series,"O'Reilly Media, Incorporated",,"1,352,380",310,7.00(w) x 9.19(h) x 0.69(d)
9015,Netsuite Oneworld Implementation 2011 R2,Thomas Foydel,,$59.99 ,$25.19 ,,9.78185E+12,978-1849681322,,Packt Publishing,,"1,273,025",400,7.50(w) x 9.25(h) x 0.82(d)
9016,Oracle Adf Enterprise Application Development-Made Simple,Sten E. Vesterli,,,,,9.78185E+12,978-1849681889,,Packt Publishing,,"1,162,558",396,7.50(w) x 9.25(h) x 0.81(d)
9017,A Newbies Guide to Excel 2013 RT,Minute Help Guides,,$7.99 ,$2.99 ,,2.94002E+12,294-0016403731,,Minute Help Press,,"1,162,628",,
9018,Programming in RPG IV,Jim Buck# Bryan Meyers,,$79.95 ,$45.99 ,,9.78158E+12,978-1583473559,,Mc Press,,"1,162,335",576,8.30(w) x 9.90(h) x 1.20(d)
9019,"Signaling System #7, Fifth Edition / Edition 5",Travis Russell,$69.96 ,,$79.99 ,,9.78007E+12,978-0071468794,McGraw-Hill Computer Communications Series,McGraw-Hill Professional Publishing,,"1,162,069",720,7.70(w) x 9.50(h) x 1.53(d)
9020,Computational Chemistry Using the PC / Edition 3,Donald W. Rogers,$123.50 , ,,,9.78047E+12,978-0471428008,,Wiley,,"1,162,379",349,6.24(w) x 9.11(h) x 0.91(d)
9021,Retele de calculatoare,Nicolae Sfetcu,,,,,2.94005E+12,294-0046179781,,Nicolae Sfetcu,,"1,162,385",,
9022,Call to Action: Secret Formulas to Improve Online Results,Bryan Eisenberg# Jeffrey Eisenberg, ,$19.19 ,$8.99 ,,9.78079E+12,978-0785219651,,"Nelson, Thomas, Inc.",,,288,6.94(w) x 9.14(h) x 0.82(d)
9023,Reducing Risk and Maximizing Investment Through IT Asset Management: A Practitioner's Perspective,Jennifer D. Doyle Richard L. Allen,,,,,9.78145E+12,978-1450283915,,"iUniverse, Incorporated",,"1,163,218",,
9024,A Newbies Guide to Android Gingerbread: Getting the Most Out of Android,Minute Help Guides,,$6.99 ,$2.99 ,,2.94001E+12,294-0013952348,,Minute Help Press,,"1,162,990",,
9025,"Writing for the Web: Composing, Coding, and Constructing Web Sites",J.D. Applen,$110.00 ,$58.95 ,$47.49 ,,9.78042E+12,978-0415883269,,Taylor & Francis,,,336,5.90(w) x 8.80(h) x 0.70(d)
9026,Control Theory: A Guided Tour,J.R. Leigh, , ,$28.99 ,,9.78185E+12,978-1849190541,Control,The Institution of Engineering and Technology,,"1,163,129",,
9027,Principles of Internet Marketing: New Tools and Methods for Web Developers,Jason I. Miletsky,,$134.64 ,,,9.78142E+12,978-1423903192,Web Technologies Series,Cengage Learning,,"1,163,304",464,7.40(w) x 9.10(h) x 0.90(d)
9028,iPod touch Made Simple,Martin Trautschold# Gary Mazo# MSL Made Simple Learning,,,,,9.78143E+12,978-1430231950,Apress Made Simple Series,Apress,,"1,163,210",712,7.50(w) x 9.20(h) x 1.80(d)
9029,"World Of Warcraft Guide: An Exceptional Guide To Online Gaming, Strategy, Tips, Tricks, Videos, Gamers And Much More!",Dobson,,,,,2.94015E+12,294-0150397118,,Aztec Publishing,,"1,163,303",,
9030,Beginning SharePoint 2010: Building Business Solutions with SharePoint,Amanda Perran# Shane Perran# Jennifer Mason# Laura Rogers,,$21.36 ,$18.49 ,,9.78047E+12,978-0470617892,,Wiley,,"1,163,643",792,7.40(w) x 9.20(h) x 1.60(d)
9031,ANGRY BIRDS SEASON GAME GUIDE,HSE,,,,,9.78163E+12,978-1632958549,,HSE,,"1,163,281",,
9032,A Tale of Two Transformations: Bringing Lean and Agile Software Development to Life,Michael K. Levine,$59.46 ,,$55.99 ,,9.78144E+12,978-1439879757,,Taylor & Francis,,,323,6.30(w) x 9.30(h) x 0.90(d)
9033,"iPod & iTunes Hacks: Tips & Tools for Ripping, Mixing, and Burning (Hacks Series)",Hadley Stern,,$20.38 ,$11.99 ,,9.7806E+12,978-0596007782,Hacks Series,"O'Reilly Media, Incorporated",,,464,6.44(w) x 9.00(h) x 0.99(d)
9034,"Learn HTML5 and JavaScript for iOS: Web Standards-based Apps for iPhone, iPad, and iPod touch",Scott Preston,,$27.50 ,$25.99 ,,9.78143E+12,978-1430240389,,Apress,,,292,7.40(w) x 9.20(h) x 0.60(d)
9035,Firewall Policies and VPN Configurations,Syngress# Dale Liu# Stephanie Miller# Abhishek Singh,,$51.71 ,$40.99 ,,9.7816E+12,978-1597490887,,Elsevier Science,,"1,164,014",514,1.03(w) x 7.50(h) x 9.25(d)
9036,"Wicked Cool Java: Code Bits, Open Source Libraries, and Project Ideas",Brian D. Eubanks,,,,,9.78159E+12,978-1593270612,,"No Starch Press San Francisco, CA",,"1,163,878",304,7.02(w) x 9.16(h) x 0.71(d)
9037,Modern Mathematics and Applications in Computer Graphics and Vision,Hongyu Guo,,,,,9.78981E+12,978-9814449359,,"World Scientific Publishing Company, Incorporated",,"1,163,728",524,
9038,Money Study Guide eBook - Business X Factor - Special 13-Page Report.,Self Improvement,,,,,2.94001E+12,294-0013923775,,colin lian,,"1,163,980",13,
9039,"Expert Oracle Database Architecture: Oracle Database 9i, 10g, and 11g Programming Techniques and Solutions",Thomas Kyte,,,,,9.78143E+12,978-1430229476,,Apress,,"1,164,324",832,
9040,Libgdx Cross-platform Game Development Cookbook,David Saltares Marquez# Alberto Cejas Sanchez,,,,,9.78178E+12,978-1783287307,,Packt Publishing,,"1,164,157",,
9041,Designing an IAM Framework with Oracle Identity and Access Management Suite / Edition 1,Jeff Scheidel,,$24.99 ,$28.99 ,,9.78007E+12,978-0071741378,Oracle Press Series,McGraw-Hill Professional Publishing,,,368,7.30(w) x 9.00(h) x 0.90(d)
9042,Mathematics for Electrical Engineering and Computing,Mary P Attenborough,,$52.85 ,$52.49 ,,9.78075E+12,978-0750658553,,Elsevier Science,,,576,1.15(w) x 7.00(h) x 10.00(d)
9043,The Affliliate Marketing Blueprint,Brandon Olson,,,,,2.94003E+12,294-0033132683,,Brandon Olson,,"1,164,354",,
9044,Artificial Dreams: The Quest for Non-Biological Intelligence / Edition 1,H. R. Ekbia,$99.99 ,$33.08 ,,,9.78052E+12,978-0521703390,,Cambridge University Press,,"1,164,884",416,5.98(w) x 8.98(h) x 0.94(d)
9045,Excel Hacks: Tips and Tools for Streamling Your Spreadsheets,David Hawley# Raina Hawley,,$22.65 ,$13.99 ,,9.7806E+12,978-0596528348,Hacks Series,"O'Reilly Media, Incorporated",,"1,428,995",412,6.36(w) x 8.92(h) x 1.03(d)
9046,The Maltese Touch of Evil: Film Noir and Potential Criticism,Shannon Scott Clute# Richard L. Edwards,,$40.00 ,$19.49 ,,9.78161E+12,978-1611680478,Interfaces: Studies in Visual Culture,Dartmouth College Press,,"1,363,137",336,6.00(w) x 8.90(h) x 0.90(d)
9047,Illustrator CS For Dummies,frank smithson,,,,,2.94015E+12,294-0151506458,,frank smithson,,"1,165,150",,
9048,Networking,Jeffrey S. Beasley,$76.00 ,,$65.99 ,,9.78013E+12,978-0131358386,Networking Technology Series,Prentice Hall Certification,,,694,8.20(w) x 10.10(h) x 1.70(d)
9049,Autodesk Inventor 2013 and Autodesk Inventor LT 2013 Essentials,Thom Tremblay,,$33.98 ,$25.99 ,,9.78112E+12,978-1118244791,,Wiley,,"1,167,782",400,7.40(w) x 9.10(h) x 1.00(d)
9050,Microsoft Dynamics CRM 2011 Step by Step,Mike Snyder# Jim Steger# Brendan Landers,,$18.31 ,$13.99 ,,9.78074E+12,978-0735648906,Step by Step Series,Microsoft Press,,"1,353,902",450,7.30(w) x 8.90(h) x 1.30(d)
