"ID", "Title", "Author", "Price", "Edition", "ASIN", "ISBN-13", "ISBN-10", "Paperback", "Series", "Publisher", "File Size", "Print Length", "Publication Date", "Sold by", "Language", "Product Dimensions", "Shipping Weight"
"7471","The Sure Thing: The Greatest Coup in Horse Racing History","Nick Townsend","$9.99
                            
                            
                                
                                    Save $4.39 (31%)","Kindle Edition","","","","","","","","","","","","",""
"7472","MANIFIESTO BITCOIN (Spanish Edition)","Satoshi Nakamoto; Oliver Tad; Satoshi Nakamoto; Felipe Gutiérrez; Oliver Tad","$4.00","Kindle Edition","B00GDYGG8C","","","","","EDITORIAL INNISFREE; 1ª edition (November 1, 2013)","144 KB","19 pages","November 1, 2013","Amazon Digital Services,  Inc.","Spanish","",""
"7473","Linux is Badass","Bryan Lunduke","$2.99","Kindle Edition","B00GFINLF2","","","","","Bryan Lunduke (November 3, 2013)","137 KB","44 pages","November 3, 2013","Amazon Digital Services,  Inc.","English","",""
"7474","Putting Money In Kids' Hands Today For A Better Tomorrow [Bitcoin Beginner for Kids Trilogy: Book 1]","Ponn Sabra; JuJu Sabra; GiGi Sabra; JoJo Sabra; Trace Mayer; Habeeba Husain; Trace Mayer; Alice Cummings; Habeeba Husain","$2.99","Kindle Edition","B00GFYG9IC","","","","","Ponn Press (December 6, 2013)","1283 KB","70 pages","December 6, 2013","Amazon Digital Services,  Inc.","English","",""
"7475","[Bitcoin Beginner For Kids Trilogy] Book 1: Bitcoin Basics. Book 2: Fun & Easy Tutorials. Book 3: Wise Words.","Ponn Sabra; JuJu Sabra; GiGi Sabra; JoJo Sabra; Trace Mayer; Habeeba Husain; Trace Mayer; Alice Cummings; Habeeba Husain","$7.97","Kindle Edition","B00GG0AQOI","","","","","Ponn Press (December 6, 2013)","3996 KB","190 pages","December 6, 2013","Amazon Digital Services,  Inc.","English","",""
"7476","WEBSITE ANALYTICS: Week #6 of the 26-Week Digital Marketing Plan [Edition 3.0]","David Bain","$2.99","Kindle Edition","B00GHPGFX8","","","","","Purple Internet Marketing; 6 edition (November 5, 2013)","1275 KB","37 pages","November 5, 2013","Amazon Digital Services,  Inc.","English","",""
"7477","El derecho en la era digital (Biblioteca Jurídica Porrúa) (Spanish Edition)","Alberto Enrique Nava Garcés; Julio Téllez Valdés; Alberto Enrique Nava Garcés","$13.99","Kindle Edition","B00GHR5BHM","","","","","Editorial Porrúa México; 1 edition (August 31, 2013)","6432 KB","168 pages","November 6, 2013","Amazon Digital Services,  Inc.","Spanish","",""
"7478","Pro Se Guide To Using And Understanding Pacer.gov","Boiler Williams; Brad Boruk","$2.99","Kindle Edition","B00GI520FE","","","","","NLA Publishing LLC (November 7, 2013)","1104 KB","47 pages","November 7, 2013","Amazon Digital Services,  Inc.","English","",""
"7479","BUSINESS BLOGGING: Week #8 of the 26-Week Digital Marketing Plan [Edition 3.0]","David Bain","$2.99","Kindle Edition","B00GK7VFUG","","","","","Purple Internet Marketing; 3 edition (November 8, 2013)","1189 KB","34 pages","November 8, 2013","Amazon Digital Services,  Inc.","English","",""
"7480","Minecraft Pi: Coding for Kids","Nicholas Harris; Jonathan Harris","$0.99","Kindle Edition","B00GM3WW8C","","","","","Jonathan Harris; 1 edition (November 4, 2013)","1025 KB","27 pages","November 4, 2013","Amazon Digital Services,  Inc.","English","",""
"7481","5 Unsung Tools of DevOps","Jonathan Thurman","$0.00","Kindle Edition","B00GM4E7DE","","","","","O'Reilly Media; 1 edition (November 19, 2013)","403 KB","24 pages","November 19, 2013","Amazon Digital Services,  Inc.","English","",""
"7482","Celebrity Biographies - The Amazing Life Of Bill Gates - Biography Series","Matt Green","$3.99","Kindle Edition","B00GMD6GDE","","","","","","642 KB","23 pages","November 11, 2013","Amazon Digital Services,  Inc.","English","",""
"7483","Book Blog Tours: An Essential Marketing Tool for Authors (Building Block To Author Success Series 3)","Barb Drozdowich; Gwynnith Smith","$2.49","Kindle Edition","","","","","","","","","","","","",""
"7484","A Pocket Guide to HTML Email","Andy Croll; Owen Gregory; Andy Croll; Nathan Ford; Owen Gregory","$2.99","Kindle Edition","B00GOFU82K","","","","","Five Simple Steps Publishing Ltd; 1 edition (March 19, 2013)","805 KB","43 pages","March 19, 2013","Amazon Digital Services,  Inc.","English","",""
"7485","A Pocket Guide to CSS Animations","Val Head; Owen Gregory; Val Head; Simon Madine; Owen Gregory","$2.99","Kindle Edition","B00GOFZ9K6","","","","","Five Simple Steps Publishing Ltd; 1 edition (May 21, 2013)","642 KB","45 pages","May 21, 2013","Amazon Digital Services,  Inc.","English","",""
"7486","Master Your Computer (Updated October 2015: Windows 10, Windows 8.1, Windows 8, Windows 7, Windows Vista, Windows XP)","Robert A. Blake","$2.99","Kindle Edition","B00GOJ9YAS","","","","","Robert A. Blake (April 11, 2014)","3825 KB","101 pages","April 11, 2014","Amazon Digital Services,  Inc.","English","",""
"7487","Facebook Marketing - The Ultimate Guide to Marketing Facebook (Facebook, Facebook in Apps for Android, Facebook App, Facebook App in Kindle, Facebook for Dummies, Facebook Advertising)","Bruce Hoffman","$2.99","Kindle Edition","B00GPP4168","","","","","","611 KB","34 pages","November 11, 2013","Amazon Digital Services,  Inc.","English","",""
"7488","Analysis of Vocoder Technology on Male Voice (International Journal of Computer Science and Mobile Computing Book 2)","Francis Enyi; Biobelemoye Roberts; Mario Chiadika; Biobelemoye Roberts; Ujerekre Ekoko; Mario Chiadika; Florence Ifezulike; Ujerekre Ekoko","$3.00","Kindle Edition","B00GQBBUBU","","","","","","1822 KB","37 pages","October 3, 2013","Amazon Digital Services,  Inc.","English","",""
"7489","Xbox One: Ultimate Guide To Master The Xbox One","David Smith","$2.99","Kindle Edition","B00GT0FLCM","","","","","","427 KB","24 pages","November 19, 2013","Amazon Digital Services,  Inc.","English","",""
"7490","Day One: Understanding OpenContrail Architecture","Bruno Rijsman; Ankur Singla; Bruno Rijsman","$1.99","Kindle Edition","B00GTXGP7O","","","","","Juniper Networks Books (November 20, 2013)","3162 KB","72 pages","November 20, 2013","Amazon Digital Services,  Inc.","English","",""
"7491","iOS and OS X Network Programming Cookbook","Jon Hoffman","$18.49
                            
                            
                                
                                    Save $31.50 (63%)","Kindle Edition","","","","","","","","","","","","",""
"7492","Celebrity Biographies - The Amazing Life Of  Mark Zuckerberg - Biography Series","Biography Series","$3.99","Kindle Edition","B00GUMJCAG","","","","","","777 KB","20 pages","February 28, 2014","Amazon Digital Services,  Inc.","English","",""
"7493","CYBER Criminals Target Holiday SHOPPERS Online SCAMS, Fraud, Identity Theft, Computer Viruses, Spyware, Malware: On-Line Safety Protection (Saving Money, Time, Effort and Resources Book 2)","Baslee Troutman; JC Larsen","$6.50","Kindle Edition","B00GV1AM64","","","","","Baslee Troutman LLC; One edition (November 21, 2013)","1347 KB","96 pages","November 21, 2013","Amazon Digital Services,  Inc.","English","",""
"7494","Bitcoin Made Easy: The Easiest Guide to Bitcoin You Will Ever Read (for Beginners)","Kris Rivenburgh","$0.99","Kindle Edition","B00GV722JI","","","","","Rivenburgh Publishing (November 14, 2013)","1575 KB","39 pages","November 14, 2013","Amazon Digital Services,  Inc.","English","",""
"7495","jQuery Gems: The easy guide to the JavaScript library for beginners who are ready to start moving beyond basic HTML programming.","Greg Sidelnikov","$3.25","Kindle Edition","B00GW7Q9DW","","","","","Greg Sidelnikov; 2 edition (November 24, 2013)","800 KB","75 pages","November 24, 2013","Amazon Digital Services,  Inc.","English","",""
"7496","iOS Programming: Starter Guide: What Every Programmer Needs to Know About iOS Programming","Jason Scotts","$0.99
                            
                            
                                
                                    Save $5.93 (86%)","Kindle Edition","","","","","","","","","","","","",""
"7497","Steve Jobs Biography - Leader Of The New Century (Famous Biographies)","Drew L. Crichton","$3.99","Kindle Edition","B00GYNPQYW","","","","","","980 KB","33 pages","December 24, 2013","Amazon Digital Services,  Inc.","English","",""
"7498","Why Most Companies Fail at Information Technology Security","Bryan Burns; Mary Burns; Bryan Burns","$9.99","Kindle Edition","B00GZZGZTE","","","","","","1261 KB","119 pages","November 26, 2013","Amazon Digital Services,  Inc.","English","",""
"7499","Tech Savvy Attorney: Starting a Law Practice in the Virtual and Mobile Technology Age","Joshua Sutterfield","$2.99
                            
                            
                                
                                    Save $6.96 (70%)","Kindle Edition","B00H0MFRPE","","","","","","1508 KB","110 pages","June 12, 2014","Amazon Digital Services,  Inc.","English","",""
"7500","40 Years in The Corporate World, and Other Funny Stories","John Shirey","$4.95","Kindle Edition","B00H165754","","","","","aex Consulting, Ltd. (December 1, 2013)","1207 KB","96 pages","December 1, 2013","Amazon Digital Services,  Inc.","English","",""
"7501","Auto-Responders ABCs: The Ultimate Guide to Email Marketing and building your list! (Email Marketing, Auto Reponders)","Online Business Buddy","$2.99","Kindle Edition","B00H3WIYGU","","","","","","430 KB","30 pages","January 1, 2014","Amazon Digital Services,  Inc.","English","",""
"7502","CCNA® Routing and Switching Lab Book - Exam 200-120©","Renee Gunderson","$5.98","Kindle Edition","B00H5CR9KU","","","","","","2378 KB","","December 7, 2013","Amazon Digital Services,  Inc.","English","",""
"7503","Computer Databases","Andrew Brown","$3.99
                            
                            
                                
                                    Save $20.00 (83%)","Kindle Edition","","","","","","","","","","","","",""
"7504","Computer Databases","Andrew Brown","$3.99
                            
                            
                                
                                    Save $20.00 (83%)","Kindle Edition","","","","","","","","","","","","",""
"7505","Borderlands 2 for Casual Gamers: Part 2 Player Characters: A Game Guide for Casual Players: If We Can Finish, so Can You! (Casual Gamer Guides)","Chas Newport","$2.99","Kindle Edition","B00H6VBCXA","","","","","NRTFM; 1.03 edition (December 8, 2013)","218 KB","83 pages","December 8, 2013","Amazon Digital Services,  Inc.","English","",""
"7506","Data Recovery: Now - Easy Data Recovery Steps To Fast Virus And Malware Removal And Troubleshooting And Maintaining Your PC! (Virus And Malware Removal, ... 2013, Computer, Troubleshooting PC, Virus)","Scott Bridges","$0.00
                            
                            
                                
                                    Save $2.99 (100%)","Kindle Edition","B00H7FO10Q","","","","","","1612 KB","28 pages","January 20, 2014","Amazon Digital Services,  Inc.","English","",""
"7507","How to Fix Your Computer Yourself - For Free! The quick guide to removing malware, spyware, and viruses from your computer and saving you a ton of money!","Ingrid Baker","$0.99","Kindle Edition","B00HB9WIUI","","","","","","481 KB","9 pages","December 21, 2013","Amazon Digital Services,  Inc.","English","",""
"7508","how to use dreamweaver cs3/4/5","stuart hall","$2.99","Kindle Edition","B00HCNXA78","","","","","","1128 KB","25 pages","December 15, 2013","Amazon Digital Services,  Inc.","English","",""
"7509","Kindle Battery Replacement Instruction Manual     (For Kindle 2, Kindle3, International Kindles and  Kindle Fire)","Alfred May","$2.99
                            
                            
                                
                                    Save $15.19 (84%)","Kindle Edition","","","","","","","","","","","","",""
"7510","Robotic Nation and Robotic Freedom - Tenth Anniversary Edition","Marshall Brain","$0.99","Kindle Edition","B00HCQLR5M","","","","","BYG Publishing, Inc.; 1 edition (December 11, 2013)","1309 KB","193 pages","December 11, 2013","Amazon Digital Services,  Inc.","English","",""
"7511","Kindle Fire HDX User Guide From Novice to Master Expert in 1 Hour  (Unleash the Mastery of Kindle Fire HDX: Getting Started, Apps, User tricks, Google play and Third-party games)","Alfred May","$2.99
                            
                            
                                
                                    Save $4.00 (57%)","Kindle Edition","","","","","","","","","","","","",""
"7512","Kindle Fire HDX Ultimate Manual:  (Discover the Ultimate Power of Kindle Fire HDX)","Theresa Motsheed","$2.99
                            
                            
                                
                                    Save $5.00 (63%)","Kindle Edition","","","","","","","","","","","","",""
"7513","BLOGGING FOR A LIVING: Step by Step Guide to Making a Living Blogging","Susan Beth","$0.99","Kindle Edition","B00HI05ALO","","","","","","943 KB","30 pages","January 1, 2014","Amazon Digital Services,  Inc.","English","",""
"7514","How to Use Twitter and Facebook (How to Use Social Media 1)","Subhash P","$0.99","Kindle Edition","B00HL3HYDK","","","","","","472 KB","24 pages","December 28, 2013","Amazon Digital Services,  Inc.","English","",""
"7515","Public Development for Mobile and Open Data","Troy MacFarlane","$1.99","Kindle Edition","B00HL9FJWM","","","","","Book Sellers Canada (December 17, 2013)","5477 KB","339 pages","December 17, 2013","Amazon Digital Services,  Inc.","English","",""
"7516","MAKE MONEY ONLINE: Top 5 Ways to Make Over $2,000 Online This Month: A No-Nonsense, Practic","Barb Asselin","$2.99
                            
                            
                                
                                    Save $11.00 (79%)","Kindle Edition","","","","","","","","","","","","",""
"7517","Five Reasons Why I Love My 13-inch Retina Macbook Pro","Jim Lynch","$1.29","Kindle Edition","B00HLRCIV4","","","","","","322 KB","6 pages","January 4, 2014","Amazon Digital Services,  Inc.","English","",""
"7518","Debian 7.0 Wheezy Review: The Rock Solid Grandaddy Distro","Jim Lynch","$1.29","Kindle Edition","B00HLRCNDM","","","","","","1074 KB","31 pages","January 4, 2014","Amazon Digital Services,  Inc.","English","",""
"7519","Manjaro 0.8.5 Review: Making Arch Linux Accessible","Jim Lynch","$1.29","Kindle Edition","B00HLRX9XU","","","","","","1192 KB","21 pages","January 4, 2014","Amazon Digital Services,  Inc.","English","",""
"7520","Ebooks: Goodbye Kindle, Hello iPad 3!","Jim Lynch","$1.29","Kindle Edition","B00HMDKPA8","","","","","","1468 KB","5 pages","January 5, 2014","Amazon Digital Services,  Inc.","English","",""
"7521","Computer-Generated Short Stories","Jeff Lee","$0.99","Kindle Edition","B00HNCF7OW","","","","","","244 KB","66 pages","January 2, 2014","Amazon Digital Services,  Inc.","English","",""
"7522","Queue-based System Architecture: Build Scalable, Fault-tolerant Distributed Systems","Sal Razzaq","$2.99","Kindle Edition","B00HNG8ZFQ","","","","","","2278 KB","66 pages","January 6, 2014","Amazon Digital Services,  Inc.","English","",""
"7523","Queue-based System Architecture: Build Scalable, Fault-tolerant Distributed Systems","Sal Razzaq","$2.99","Kindle Edition","B00HNG8ZFQ","","","","","","2278 KB","66 pages","January 6, 2014","Amazon Digital Services,  Inc.","English","",""
"7524","8 Things to Learn Before Making Your App","Dann Berg","$2.99","Kindle Edition","B00HO24ZDA","","","","","Novice No Longer (January 3, 2014)","1016 KB","28 pages","January 3, 2014","Amazon Digital Services,  Inc.","English","",""
"7525","WildFly 8 Administration","Francesco Marchioni; Jaikiran Pai; Francesco Marchioni; Mylos Kathos; Jaikiran Pai; Brian Stansberry; Mylos Kathos","$9.99","Kindle Edition","B00HOGN0C8","","","","","ItBuzzPress; 1.1 edition (January 2, 2014)","4448 KB","333 pages","January 2, 2014","Amazon Digital Services,  Inc.","English","",""
"7526","Start Concurrent: An Introduction to Problem Solving in Java with a Focus on Concurrency, 2014","Barry Wittman; Aditya Mathur; Tim Korb","$16.49
                            
                            
                                
                                    Save $13.50 (45%)","Kindle Edition","B00HPZYF7W","","","","","Purdue University Press; 7 edition (January 6, 2014)","7752 KB","596 pages","January 6, 2014","Amazon Digital Services,  Inc.","English","",""
"7527","25 Free Games for iPad","Jim Lynch","$1.29","Kindle Edition","B00HQ2JDTE","","","","","","1752 KB","25 pages","January 5, 2014","Amazon Digital Services,  Inc.","English","",""
"7528","SECRET MONEY: LIVING ON BITCOIN IN THE REAL WORLD","Kashmir Hill","$2.49
                            
                            
                                
                                    Save $1.50 (38%)","Kindle Edition","B00HSTM7W0","","","","","Forbes Media (January 15, 2014)","3308 KB","72 pages","January 15, 2014","Amazon Digital Services,  Inc.","English","",""
"7529","Kindle Fire HDX User Guide With Tips And Tricks: BEGINNER TO EXPERT IN 1 HOUR!","Steve Walker","$0.99
                            
                            
                                
                                    Save $12.00 (92%)","Kindle Edition","","","","","","","","","","","","",""
"7530","How to use the Tethering setting on your Android Smartphones or Tablets","C Harris","$0.99","Kindle Edition","B00HV5M7CG","","","","","","378 KB","2 pages","January 12, 2014","Amazon Digital Services,  Inc.","English","",""
"7531","Android Tablet & Phone Easy Step User Guide For Seniors & Beginners: All Android Versions 4.0 - 5.0","Chris Gornall","$4.79","Kindle Edition","B00HVDUF36","","","","","","1648 KB","155 pages","January 20, 2014","Amazon Digital Services,  Inc.","English","",""
"7532","Zero Programming Guide to Creating and Selling Apps","Doug; Chuck; Doug","$3.99","Kindle Edition","B00HVFQFYW","","","","","Aprerar Media (January 14, 2014)","854 KB","49 pages","January 14, 2014","Amazon Digital Services,  Inc.","English","",""
"7533","Is Bitcoin a Scam? Risks, Problems You Need to Know Before Investing in Bitcoin.","James Leeson","$0.99","Kindle Edition","B00HVI5L4O","","","","","","599 KB","53 pages","January 14, 2014","Amazon Digital Services,  Inc.","English","",""
"7534","How To Start Your Own Internet Radio Station In 10 minutes And Make $1000 dollar or more monthly","sanmi akindipe","$2.99","Kindle Edition","B00HXV51GC","","","","","","2869 KB","36 pages","January 18, 2014","Amazon Digital Services,  Inc.","English","",""
"7535","Bitcoin Explained Simply: An Easy Guide To The Basics That Anyone Can Understand","Mark Jeffrey","$2.99","Kindle Edition","B00HY4WPSA","","","","","Mark Jeffrey; 1 edition (January 15, 2014)","210 KB","46 pages","January 15, 2014","Amazon Digital Services,  Inc.","English","",""
"7536","Electronic Mediation Handbook","Franco Conforti","$9.99","Kindle Edition","B00HYHBUCE","","","","","Acuerdo Justo SC (January 19, 2014)","1455 KB","86 pages","January 19, 2014","Amazon Digital Services,  Inc.","English","",""
"7537","Webmasters: Four young men who helped invent our online world","David Schardt","$2.99","Kindle Edition","B00I0IM53E","","","","","Nimble Enterprises (January 21, 2014)","993 KB","69 pages","January 21, 2014","Amazon Digital Services,  Inc.","English","",""
"7538","Asterisk PBX: Instalación, implementación y puesta en marcha: La guía en español paso a paso (Spanish Edition)","Bernard Perez","$2.99
                            
                            
                                
                                    Save $9.00 (75%)","Kindle Edition","B00I2C7Y0C","","","","","Bernard Perez; 1 edition (January 5, 2014)","1280 KB","484 pages","January 5, 2014","Amazon Digital Services,  Inc.","Spanish","",""
"7539","Minecraft: Minecraft Servers","Chris Duncan","$6.99","Kindle Edition","B00I3Q2PT2","","","","","Chris Duncan (January 25, 2014)","97 KB","9 pages","January 25, 2014","Amazon Digital Services,  Inc.","English","",""
"7540","Digital Privacy Handbook: Reclaim Your Privacy In An Age Of Government & Corporate Snooping","John Doe","$2.99","Kindle Edition","B00I3S7X24","","","","","Expert Digital Publishing (January 28, 2014)","1033 KB","38 pages","January 28, 2014","Amazon Digital Services,  Inc.","English","",""
"7541","Fundamentals of Sports Game Design","Ernest Adams","$9.00","Kindle Edition","B00I450VY8","","","","","New Riders; 1 edition (January 29, 2014)","2122 KB","45 pages","January 29, 2014","Amazon Digital Services,  Inc.","English","",""
"7542","Search Engine Marketing: The Ultimate Guide to Internet Marketing! (SEO, Search Engine Marketing)","Online Business Buddy","$2.99","Kindle Edition","B00I4QHM94","","","","","","904 KB","39 pages","January 29, 2014","Amazon Digital Services,  Inc.","English","",""
"7543","Make Gold in Pandaria, World of Warcraft","Velvetina Marie","$2.99","Kindle Edition","B00I56OR3W","","","","","","347 KB","38 pages","January 30, 2014","Amazon Digital Services,  Inc.","English","",""
"7544","Fundamentals of Vehicle Simulation Design","Ernest Adams","$9.00","Kindle Edition","B00I5R9H36","","","","","New Riders; 1 edition (January 31, 2014)","3135 KB","46 pages","January 31, 2014","Amazon Digital Services,  Inc.","English","",""
"7545","Getting Started with AWS: Deploying a Web Application","Amazon Web Services","$0.00","Kindle Edition","B00I5UDMOS","","","","","","677 KB","28 pages","January 30, 2014","Amazon Digital Services,  Inc.","English","",""
"7546","Getting Started with AWS: Deploying a Web Application","Amazon Web Services","$0.00","Kindle Edition","B00I5UDMOS","","","","","","677 KB","28 pages","January 30, 2014","Amazon Digital Services,  Inc.","English","",""
"7547","Bitcoin in Brief","Ben Isgur; Alec Stevenson; Ben Isgur; Glenn Jones; Alec Stevenson","$0.99","Kindle Edition","B00I60NBWU","","","","","Ben Isgur; 2 edition (January 27, 2014)","2344 KB","23 pages","January 27, 2014","Amazon Digital Services,  Inc.","English","",""
"7548","300 Best Kindle Fire HDX & HD Free & Paid Apps + Kindle Fire Free eBooks & Free Games Downloads","Alex Bowman","$2.99","Kindle Edition","B00I6S7L50","","","","","","226 KB","51 pages","February 1, 2014","Amazon Digital Services,  Inc.","English","",""
"7549","How to win at leading a Clan on ROBLOX: Seany112 | Sean Otley","Sean Otley","$0.99","Kindle Edition","B00I72RSVC","","","","","Seany112 | Sean Otley; 1 edition (February 1, 2014)","965 KB","28 pages","February 1, 2014","Amazon Digital Services,  Inc.","English","",""
"7550","Biz Smart Quick Guide:  10 Strategies to Online Visibility for More Traffic, Clicks and Profit!","Donna Gunter; Shonda Taylor; Shelley Webb; Kelly Galea; Sue Painter; Debbie Mrazek; Robert Nahas; Roz Walker; Robert Nahas; Monica McPherrin; Roz Walker; Donna Payne","$2.99","Kindle Edition","B00I791VT0","","","","","BizSmart Publishing (February 1, 2014)","1431 KB","83 pages","February 1, 2014","Amazon Digital Services,  Inc.","English","",""
"7551","GOOGLE NOW: A Guide To World's Most Powerful Personal Digital Assistant","Darren Nelson","$2.99","Kindle Edition","B00I7DS5BS","","","","","Gold Medal Solutions; 1ST edition (January 31, 2014)","15339 KB","98 pages","January 31, 2014","Amazon Digital Services,  Inc.","English","",""
"7552","Cómo escribir relatos de ficción (Autopublicación nº 1) (Spanish Edition)","José Noguera","$2.99","Kindle Edition","B00I87ETN6","","","","","","1083 KB","49 pages","February 3, 2014","Amazon Digital Services,  Inc.","Spanish","",""
"7553","Ping: Basic IP Network Troubleshooting (Need To Know Basis Book 1)","Jorgen Lanesskog","$0.99","Kindle Edition","B00I8VW470","","","","","Rupta AS; 1 edition (March 5, 2014)","2024 KB","67 pages","March 5, 2014","Amazon Digital Services,  Inc.","English","",""
"7554","App Marketing: The Unique App Marketing Strategy That Generates 100,000 Downloads In 7 Days","Mark Hernsberg","$4.99","Kindle Edition","B00I9K2DLM","","","","","","772 KB","42 pages","February 4, 2014","Amazon Digital Services,  Inc.","English","",""
"7555","How to Build a PC: The Beginner's Guide to Building a Mini ITX Computer for your Home or Office","Dogwood Apps","$4.99","Kindle Edition","B00I9PM7SQ","","","","","","14992 KB","113 pages","February 5, 2014","Amazon Digital Services,  Inc.","English","",""
"7556","Azon Best Seller: How to Publish a Best Selling Kindle Book","Brian G. Johnson","$4.99","Kindle Edition","B00IAFWF28","","","","","MarketingEasyStreet.com; 1 edition (February 6, 2014)","4464 KB","88 pages","February 6, 2014","Amazon Digital Services,  Inc.","English","",""
"7557","Nexus 5, 6, 7, 9, & 10 Phone & Tablet User Guide: All Android Versions 4.0 Thru 5.0 Lollipop","Chris Gornall","$4.90","Kindle Edition","B00ICJBEWO","","","","","","1415 KB","155 pages","February 9, 2014","Amazon Digital Services,  Inc.","English","",""
"7558","How to Use Linkedin Today","John Hurd","$0.99","Kindle Edition","B00ICQXITY","","","","","","1250 KB","39 pages","February 9, 2014","Amazon Digital Services,  Inc.","English","",""
"7559","Fundamentals of Office 365 (Computer Fundamentals)","Kevin Wilson","$3.00
                            
                            
                                
                                    Save $9.95 (77%)","Kindle Edition","","","","","","","","","","","","",""
"7560","Going Online: A Guide To Bringing Your Small Business Online","Kenley Obas","$1.99","Kindle Edition","B00IDHZH7S","","","","","Kindred Technology Group (February 8, 2014)","3036 KB","41 pages","February 8, 2014","Amazon Digital Services,  Inc.","English","",""
"7561","30 Smart Ways to  Protect Yourself from Cyber Criminals","Theodore Henderson","$5.99","Kindle Edition","B00IFI3KR4","","","","","","2790 KB","39 pages","February 12, 2014","Amazon Digital Services,  Inc.","English","",""
"7562","The Smart Guide to Online Dating for Women Over 40: Overcome your jitters and find love online - the best online dating advice if you think you're too old, too wrinkly, or too fat!","K.B. Madison","$0.00
                            
                            
                                
                                    Save $1.99 (100%)","Kindle Edition","B00IG9MD02","","","","","","1790 KB","28 pages","February 13, 2014","Amazon Digital Services,  Inc.","English","",""
"7563","XBMC Kodi Android Internet TV User Guide: 2800 Free Movie & TV Addons: Windows, Amazon Fire, Apple, Linux, Raspberry - Updated regularly -  Includes Android User Guide","Chris Gornall","$4.95","Kindle Edition","B00IGEI2FC","","","","","","1046 KB","72 pages","March 27, 2014","Amazon Digital Services,  Inc.","English","",""
"7564","OpenAL for iOS Game Development: Making iPhone & iPad Games Addictively Noisy","Ben Britten-Smith; Ross Carter; Ben Britten-Smith","$9.99","Kindle Edition","B00II75NJ0","","","","","WalrusInk (February 16, 2014)","9908 KB","74 pages","February 16, 2014","Amazon Digital Services,  Inc.","English","",""
"7565","The Rise Of The 3D Printed Robot: Gyges 3D Presents","Aaron Council; Edward Long","$2.99","Kindle Edition","","","","","","","","","","","","",""
"7566","How to Build the Perfect Computer: 2005 Limited Edition","Thomas Thompson","$9.99","Kindle Edition","B00IILXURS","","","","","52 Pages, Published 2005 by Heliographica Press, 2014 NOUDEC CETACEA INTERNATIONAL; First Edition Heliographica Press (May 2005) Limit edition (May 5, 2005)","442 KB","52 pages","May 5, 2005","Amazon Digital Services,  Inc.","English","",""
"7567","Borderlands 2 for Casual Gamers: Part 3: Order of Play: A Game Guide for Casual Players: If We Can Finish, So Can You! (Casual Gamer Guides)","Chas Newport","$1.99","Kindle Edition","B00IJ7XNAK","","","","","NRTFM; 1.03 edition (February 18, 2014)","219 KB","58 pages","February 18, 2014","Amazon Digital Services,  Inc.","English","",""
"7568","COMPUTER HACKERS TRICKS AND TIPS: ...how to get max internet speed,how to earn money online and much more ''how to...'' you will learn here...","Renata V.","$4.99","Kindle Edition","B00IKPH5XM","","","","","Author; Original edition edition (February 20, 2014)","440 KB","8 pages","February 20, 2014","Amazon Digital Services,  Inc.","English","",""
"7569","Kindle Fire HD Apps: 50 Essential Apps for Your Kindle Fire HD!","Aubrey Mitchell","$2.99","Kindle Edition","","","","","","","","","","","","",""
"7570","Velocity: The Basics: Scripting with a $ here and a # to do","James Johnson","$2.99","Kindle Edition","B00IMM9J96","","","","","","1100 KB","77 pages","February 23, 2014","Amazon Digital Services,  Inc.","English","",""
"7571","How To Write A Privacy Policy For Your Website","Amy Mulcreevy; Justin Pot; Amy Mulcreevy; Angela Alcorn; Justin Pot","$0.99","Kindle Edition","B00IN4CXZK","","","","","MakeUseOf.com (February 24, 2014)","4534 KB","52 pages","February 24, 2014","Amazon Digital Services,  Inc.","English","",""
"7572","WMI Query Language via PowerShell: Explore the Basics of WMI Query Language, Types of WMI Queries, and using PowerShell to Retreive WMI Management Information","Alan Forbes; Ravikanth Chaganti","$2.99","Kindle Edition","B00INC8XSS","","","","","Plum Island Plublishing, LLC; 1 edition (February 24, 2014)","636 KB","68 pages","February 24, 2014","Amazon Digital Services,  Inc.","English","",""
"7573","Lucky Me !","Allen Lockshin","$2.99","Kindle Edition","B00INEDLPQ","","","","","","2117 KB","204 pages","February 24, 2014","Amazon Digital Services,  Inc.","English","",""
"7574","Dungeons & Dreamers: A story of how computer games created a global community","Brad King; John Borland","$3.03
                            
                            
                                
                                    Save $9.96 (77%)","Kindle Edition","","","","","","","","","","","","",""
"7575","1 + 1 = 1 Introduction to Boolean Algebra and Switching Circuits: Computer Mathematics Series","William Parks","$2.99
                            
                            
                                
                                    Save $4.96 (62%)","Kindle Edition","","","","","","","","","","","","",""
"7576","Managing Your Research with Evernote for Mac","Catherine Pope","$4.99","Kindle Edition","B00IRB6BRU","","","","","Catherine Pope Limited (March 2, 2014)","5061 KB","114 pages","March 2, 2014","Amazon Digital Services,  Inc.","English","",""
"7577","SEO for WordPress: How To Get Your Website on Page #1 of Google...Fast! [2nd Edition]","Kent Mauresmo; Anastasiya Petrova","$0.00
                            
                            
                                
                                    Save $7.97 (100%)","Kindle Edition","","","","","","","","","","","","",""
"7578","Product Review of the Samsung Galaxy Gear Smartwatch: An Unauthorized Guide to the Wearable Android Device [Article]","Clay Martin","$2.99","Kindle Edition","B00IRR26PU","","","","","","388 KB","5 pages","March 3, 2014","Amazon Digital Services,  Inc.","English","",""
